Well	Plate	OD	pred_conc	Fly 	DF	A	B	C
b5	1	6	684171.78	41	5	NA	NA	NA
b5	1	6	684171.78	41	25	33	40	38
b5	1	6	684171.78	41	125	5	12	4
b5	1	6	684171.78	41	625	2	2	0
b6	1	6	684171.78	42	1	NA	NA	NA
b6	1	6	684171.78	42	5	NA	NA	NA
b6	1	6	684171.78	42	25	23	18	15
b6	1	6	684171.78	42	125	5	5	3
b6	1	6	684171.78	42	625	1	0	1
b7	1	6	684171.78	43	1	NA	NA	NA
b7	1	6	684171.78	43	5	NA	NA	NA
b7	1	6	684171.78	43	25	46	62	44
b7	1	6	684171.78	43	125	7	6	12
b7	1	6	684171.78	43	625	2	3	2
b8	1	6	684171.78	44	1	NA	NA	NA
b8	1	6	684171.78	44	5	NA	NA	NA
b8	1	6	684171.78	44	25	23	18	15
b8	1	6	684171.78	44	125	5	5	3
b8	1	6	684171.78	44	625	1	0	1
b9	1	6	684171.78	45	1	NA	NA	NA
b9	1	6	684171.78	45	5	NA	NA	NA
b9	1	6	684171.78	45	25	45	53	62
b9	1	6	684171.78	45	125	6	8	13
b9	1	6	684171.78	45	625	1	3	1
b10	1	6	684171.78	46	1	NA	NA	NA
b10	1	6	684171.78	46	5	NA	NA	NA
b10	1	6	684171.78	46	25	48	49	45
b10	1	6	684171.78	46	125	12	9	8
b10	1	6	684171.78	46	625	6	3	3
b11	1	6	684171.78	47	1	NA	NA	NA
b11	1	6	684171.78	47	5	NA	NA	NA
b11	1	6	684171.78	47	25	35	59	37
b11	1	6	684171.78	47	125	5	12	11
b11	1	6	684171.78	47	625	2	4	3
b12	1	6	684171.78	48	1	NA	NA	NA
b12	1	6	684171.78	48	5	50	72	61
b12	1	6	684171.78	48	25	7	9	6
b12	1	6	684171.78	48	125	1	4	1
b12	1	6	684171.78	48	625	1	0	1
