Well	Number	Plate	OD	Sex	pred_conc	Fly 	DF	A	B	C
G	3	2	0.06	f	6841.72	39	4	16	16	13
G	3	2	0.06	f	6841.72	39	8	4	6	4
G	3	2	0.06	f	6841.72	39	16	4	5	2
G	4	2	0.06	f	6841.72	40	1	NA	NA	NA
G	4	2	0.06	f	6841.72	40	2	31	44	31
G	4	2	0.06	f	6841.72	40	4	23	28	14
G	4	2	0.06	f	6841.72	40	8	10	10	4
G	4	2	0.06	f	6841.72	40	16	4	2	1
G	5	2	0.06	f	6841.72	41	1	NA	NA	NA
G	5	2	0.06	f	6841.72	41	2	33	33	26
G	5	2	0.06	f	6841.72	41	4	13	21	12
G	5	2	0.06	f	6841.72	41	8	15	3	8
G	5	2	0.06	f	6841.72	41	16	2	3	2
G	6	2	0.06	f	6841.72	42	1	NA	NA	NA
G	6	2	0.06	f	6841.72	42	2	22	23	34
G	6	2	0.06	f	6841.72	42	4	25	17	12
G	6	2	0.06	f	6841.72	42	8	10	4	4
G	6	2	0.06	f	6841.72	42	16	3	4	3
G	7	2	0.06	f	6841.72	43	1	NA	NA	NA
G	7	2	0.06	f	6841.72	43	2	49	49	45
G	7	2	0.06	f	6841.72	43	4	34	25	23
G	7	2	0.06	f	6841.72	43	8	8	10	15
G	7	2	0.06	f	6841.72	43	16	6	9	8
G	8	2	0.06	f	6841.72	44	1	NA	NA	NA
G	8	2	0.06	f	6841.72	44	2	34	34	32
G	8	2	0.06	f	6841.72	44	4	20	21	20
G	8	2	0.06	f	6841.72	44	8	9	15	11
G	8	2	0.06	f	6841.72	44	16	7	6	8
G	9	2	0.06	f	6841.72	45	1	NA	NA	NA
G	9	2	0.06	f	6841.72	45	2	51	47	NA
G	9	2	0.06	f	6841.72	45	4	30	34	33
G	9	2	0.06	f	6841.72	45	8	14	13	22
G	9	2	0.06	f	6841.72	45	16	10	12	6
G	10	2	0.06	f	6841.72	46	1	NA	NA	NA
G	10	2	0.06	f	6841.72	46	2	NA	NA	NA
G	10	2	0.06	f	6841.72	46	4	37	32	25
G	10	2	0.06	f	6841.72	46	8	19	9	15
G	10	2	0.06	f	6841.72	46	16	5	8	7
